address,chain,type,confidence,evidence
DVpFfwNNnCvYzkjMDBPrRX5Hmi11ZDbyHj6AcEFLxcgj,solana,scam,high,"Meteora_Kelsier_blacklist"
2jTcqiJ7UrJmuSEszjPpoyjXvALooVhUfn9SEmJGLXWM,solana,scam,high,"Meteora_Kelsier_blacklist"
AorUnVYkaeZfkySpBEYLT6KyFZvSWQBL5hy7ZUua9qEV,solana,scam,high,"Meteora_Kelsier_blacklist"
HAmHMBASmJ9ai33fBQTcrzyREbduVHuECtL8jZMD2NYA,solana,scam,high,"Meteora_Kelsier_blacklist"
GkGL6pFjJyYpWYoWbLu1fKknKqUuABF8XP2UH6kst2vf,solana,scam,high,"Meteora_Kelsier_blacklist"
2AYnyvvgzYHTtTF1DUBLh1dHmr9DeEFpjmQJksmyBvpv,solana,scam,high,"Meteora_Kelsier_blacklist"
8msSstgJCfUBkagzY3PqrsLSXXaf8iePjqPivbzEMPXy,solana,scam,high,"Meteora_Kelsier_blacklist"
13PGRJaS562Jq7x6ANkJ8SvWfj49ZJb9GX9fBBxJYrqp,solana,scam,high,"Meteora_Kelsier_blacklist"
B86pZcoEkwQkyx6FxFzqCwjmiv5aroht1eu6CmoForF9,solana,scam,high,"Meteora_Kelsier_blacklist"
F5o5fh9cEmZ2mbDeg2mmZSauBJxsqQEodYZFvjBS94eH,solana,scam,high,"Meteora_Kelsier_blacklist"
2VpPdgMEsPiYHBuJ3nY9qz7q29EtcMhqpHfbA3ofYnt8,solana,scam,high,"Meteora_Kelsier_blacklist"
4sJnuyUxFdAyvpy29mQMahZWbcjyGgS7jtYRfHY9Pc5y,solana,scam,high,"Meteora_Kelsier_blacklist"
D5GWzNTKK37EScDBvFvDyjtCvNYyfP7B7euFosg8Bcid,solana,scam,high,"Meteora_Kelsier_blacklist"
2qpXXVnaxSLU9MtSpeHCNAoAz3KvXPiM7WURp4xqXvQc,solana,scam,high,"Meteora_Kelsier_blacklist"
Dk5keS88V3W7q3JU4cRWBFyWGoeBxLQuVR8pyojdUZWM,solana,scam,high,"Meteora_Kelsier_blacklist"
4RJwA6wNV3hquVEJBEBCGp9afxFEM2BQXmHNRyqMRhfo,solana,scam,high,"Meteora_Kelsier_blacklist"
8iULNpyZYJcdLLNE7oRvDF6iXUEfT6nGH9aqxCfnZ3y8,solana,scam,high,"Meteora_Kelsier_blacklist"
5yvunPjsNVFw7dGqR2sMCKo12vHL7ywjaoZ5Ymot3eLv,solana,scam,high,"Meteora_Kelsier_blacklist"
HfPG9wEYzmBsevGLPz3LHiJPJPzJXJi1YvLXKhs8zMHf,solana,scam,high,"Meteora_Kelsier_blacklist"
7T39LjCnFNyfgXiQL5ogbq9QRDqcdTBBfSAha7eU7dE9,solana,scam,high,"Meteora_Kelsier_blacklist"
6XDAWZaNHEerC2d5vrvPwaB5ofirSCz8fqyNJt8ugPwh,solana,scam,high,"Meteora_Kelsier_blacklist"
5rBgyX5uzfUvEzGBS9mpQFQGH8APYq6QTgU3c9ekVkms,solana,scam,high,"Meteora_Kelsier_blacklist"
P5tb4T6SBVQaM3BAoGfpVudLtTdecqjsh4KV9ESAhKg,solana,scam,high,"Meteora_Kelsier_blacklist"
8ojxSu5Q3h8hFXB1WC1wyHnRroHxrmpkie9KDuu89Hm7,solana,scam,high,"Meteora_Kelsier_blacklist"
7MjJjfGKH9aqRepUB4try2CwbXVAX1zfbauNou4ucEYK,solana,scam,high,"Meteora_Kelsier_blacklist"
38PG1Vj76N3DLJEggdA2EiSydBrNPE5wXQAsVjSMW9FS,solana,scam,high,"Meteora_Kelsier_blacklist"
B7xZNqXiuZMJCeMLR365x1xRVUWnF6iEy6JkE4CFbR2Q,solana,scam,high,"Meteora_Kelsier_blacklist"
C4NTpEVpDmm9CivyjijEYdd4w8pAQ6DDrSicBB3LJPFV,solana,scam,high,"Meteora_Kelsier_blacklist"
8zsra9DzmzENUNjVJvPPYpcyhgztcyPCyVEyJ6muSfUr,solana,scam,high,"Meteora_Kelsier_blacklist"
HpmksZkexEkkFS6VLTw9RcF4AiMghX8nJye9pSZ8qjwW,solana,scam,high,"Meteora_Kelsier_blacklist"
3GXt9BZLbfbtMvnw6DxVvMmsbrxveaef8GB3toCnTtA7,solana,scam,high,"Meteora_Kelsier_blacklist"
7m9nbNTcynRqhxoZfi5S1kGbFtDdtWT7pQtc2cGjGKNX,solana,scam,high,"Meteora_Kelsier_blacklist"
9zaNPDEJ7YN2RYzgTnd7QboBJm4UT4uuC6ce4WVrxAZ5,solana,scam,high,"Meteora_Kelsier_blacklist"
DQ6r7i7VydwDRijiZ5XGEKWKVh21kVobvMdvQcj4upfb,solana,scam,high,"Meteora_Kelsier_blacklist"
7tyqv7KQDKcQHnDNMe7ud26DQCqT6tL7W5ckcbrmTEAs,solana,scam,high,"Meteora_Kelsier_blacklist"
6QsKX7hY5w8DNaLRPd1jLiABibqJSEmqyD8htx6PC76C,solana,scam,high,"Meteora_Kelsier_blacklist"
8nvLrwAdACXQJjRktyLFha4h6Tw8oBXyebAMvv8m4R1m,solana,scam,high,"Meteora_Kelsier_blacklist"
4J3418FMhX43orbZBh1UULY78vxxLpY3nCmUVanxgajd,solana,scam,high,"Meteora_Kelsier_blacklist"
ANGMjWjzhUHcsgueFrRHCHFwg7CX48kRdjFrqyiXpzec,solana,scam,high,"Meteora_Kelsier_blacklist"
44kX2sWQJsHu9qBQgRPo6NG6NbgKJ2gn2AmrfsRpcT8r,solana,scam,high,"Meteora_Kelsier_blacklist"
8vr817dnzwwxUaLfw5EN34fvFz4yfr64ov4MDZiaXeJJ,solana,scam,high,"Meteora_Kelsier_blacklist"
DBHx79Qntjcq5wk2T3GXojiQJngSN8cKY355SzzvwN94,solana,scam,high,"Meteora_Kelsier_blacklist"
3UbosnVKwCe8fzBiDAWpTAAfK2eEK97sJPPaxM5EvUUe,solana,scam,high,"Meteora_Kelsier_blacklist"
BPUcyTFW5iBbn3JLA1qzo2RwJD4vCYEbKUue9XPpaCUJ,solana,scam,high,"Meteora_Kelsier_blacklist"
BRSCiMRvUJgDcBHYYXqJtrReSVd3bmcGYxph9gJLnZsH,solana,scam,high,"Meteora_Kelsier_blacklist"
J9P1AvQqzwudosd8Pp7QdMRH6CgSmEJJnj7KeMCMKPid,solana,scam,high,"Meteora_Kelsier_blacklist"
HVFdVZfZU1YarUk5EoG1gnhs5gJgFKL1vMLrxikVbmGZ,solana,scam,high,"Meteora_Kelsier_blacklist"
FbRhHrfNvuniA9qc1vok3LdtQEPgGTUxhnoKRdGUTuqx,solana,scam,high,"Meteora_Kelsier_blacklist"
G66X7GxTsYNKGDTviPcrBgGSK3M5HPJzWhZmdEurTCs9,solana,scam,high,"Meteora_Kelsier_blacklist"
D6QBq56wWxANFt72ubTThdeiDsu96E3y3M2zZ2GpoyjV,solana,scam,high,"Meteora_Kelsier_blacklist"
EgCD37zbTkGzhGzstYivLvtk3NRW2XdZkWnmEWV5NrMq,solana,scam,high,"Meteora_Kelsier_blacklist"
9cey7s2oEjoAkumb8Rw6LZb1Q5YSHAAqWSBC4pV1cLdM,solana,scam,high,"Meteora_Kelsier_blacklist"
8ovrQ978tvVY6LPsoeG7rTWE5qBGpy3wun9yWEhEh82a,solana,scam,high,"Meteora_Kelsier_blacklist"
Es2fchbGnKXVVw5dwAgzAyDm1fmcGU9ThzWvJarC8YxA,solana,scam,high,"Meteora_Kelsier_blacklist"
EBdfmM9VntnWRk4Xs5db4mdbdEyWfneFFHDhdmB7TAhw,solana,scam,high,"Meteora_Kelsier_blacklist"
77K49rYvoXMYpHNf5ZsLULJBipNcj57ruTR3r4egnxuM,solana,scam,high,"Meteora_Kelsier_blacklist"
2YWdfY2Gau12UNX2H8TNd6kdt3raf2xPcNDqV8dUzBZq,solana,scam,high,"Meteora_Kelsier_blacklist"
DsvxMndWJws2ubvn3TZeLwNAt53a9T4vgCTeao2ZZqQ1,solana,scam,high,"Meteora_Kelsier_blacklist"
