address,chain,type,confidence,evidence
1og4JNPFhfBYTyb3d9s1wUpbUfpjdKxj45UWTR7G2MGxbSs,polkadot,phishing,high,"polkadot-js_phishing"
15thGpT27un24iSwtWkUeH9Y7o66YJwCHaBLZB95gAJRSyQp,polkadot,phishing,high,"polkadot-js_phishing"
15e4tRML8HDU688CQGgK78UVj31mRxxQwvFSKZrwro7JH2oh,polkadot,phishing,high,"polkadot-js_phishing"
16kxHTvCrbX4qig6nLQTfaoY4M5YWkz296Kpazv4d6kKXD7b,polkadot,phishing,high,"polkadot-js_phishing"
1oeTue4y141ngpKVBVKwkHxSQ4dki8Vm5S5BCU5mHDawHNN,polkadot,phishing,high,"polkadot-js_phishing"
13gDqBq7jvU8oLqiFzZjJK21cpFXg8Tndvvb78nPjiAr6kxb,polkadot,phishing,high,"polkadot-js_phishing"
162kJkTaQ1gPAXiLiBvyDCGEuWZFi9o9CMbKqN8z4MW5Fpqu,polkadot,phishing,high,"polkadot-js_phishing"
13jZ1JumyVCSj4zMMS63LbVAbkjtRiBS4TGr7cZLZdGB6cYJ,polkadot,phishing,high,"polkadot-js_phishing"
121rFxeYv8Jh2oY8AKkLUYuAHfo6yU4HLHTP6UeyQTLGHiXK,polkadot,phishing,high,"polkadot-js_phishing"
12Gyy8Tk6qEvnFnqC8A672RKwxR5MmdJpJcs3Ui6ZVbMcADA,polkadot,phishing,high,"polkadot-js_phishing"
13M7xJenMKqgEGucYfBX9yprPP56zgwy9NMzwHyMCqS3cgHw,polkadot,phishing,high,"polkadot-js_phishing"
13MpErWtaofUea9H6x3LGiv737Jgcwo9KBKkN86khj51G3XQ,polkadot,phishing,high,"polkadot-js_phishing"
1487AbuiekSiL3e5EQUDJdh1VMtnubsEBrhmdTZr3GqRoxwT,polkadot,phishing,high,"polkadot-js_phishing"
14obHV6K2Y9uea63y35ZnX2nHe2W5kWwZC2tdBM5mvAi1ywx,polkadot,phishing,high,"polkadot-js_phishing"
14Xm9UFYgFJzA8tPAuKwNKQsJG2vpSQb5c9NjYcqttLRGp6G,polkadot,phishing,high,"polkadot-js_phishing"
15jcdrZtPNYuJUyj3ySxteQh61AkXRiZvwQ9d4B2zYcBkZCB,polkadot,phishing,high,"polkadot-js_phishing"
15jxqSpFTt7HzfUq8b3LXCr59Xee6zg8bDgk2YEsN4QES4MT,polkadot,phishing,high,"polkadot-js_phishing"
15k6TR4GKQKWZ6bTphNZxyC39dX1uG8WxaortwF6VTaS5DYc,polkadot,phishing,high,"polkadot-js_phishing"
15Ktwc9RxZsecTcRDfcnfC2LvXSjQofTj4kwBVV9fpP9FEs8,polkadot,phishing,high,"polkadot-js_phishing"
15mkxFPeKQsycxK6kMcqoTvNKeqTBCArrZrZWwqpRuP7o1ko,polkadot,phishing,high,"polkadot-js_phishing"
15n1ZwX5EUQcMLAzNmusz3bxMSUVo1vWPhcq7zpo3ceT1HsY,polkadot,phishing,high,"polkadot-js_phishing"
15obSZxbzrUgFPAGmBrPqepd11qmGJzHmkV9Q1JRg7eh5DX8,polkadot,phishing,high,"polkadot-js_phishing"
15oQiGX53zHj56WoW7buqVineErnfVJebrQUHCXrib9Mna2K,polkadot,phishing,high,"polkadot-js_phishing"
15Q6wxTbhJNscNH94uKTtCErkDx4Eq2JogVF5sT3dTqqR6Bb,polkadot,phishing,high,"polkadot-js_phishing"
15qzP6nYyGh6DRdygRh1WgoLhmrQudTFJrLQyRMoRVDWiLsp,polkadot,phishing,high,"polkadot-js_phishing"
